year,month_finished,tournament,country,quarter,semi,final,won
2014,August,ESL One Cologne,Serbia,0,0,0,0
2014,November,DreamHack Winter,Serbia,0,0,0,0
2015,March,ESL One Katowice,Serbia,0,0,0,0
2015,August,ESL One Cologne,Serbia,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Serbia,0,0,0,0
2016,April,MLG Columbus,Serbia,0,0,0,0
2016,July,ESL One Cologne,Serbia,0,0,0,0
2017,January,ELEAGUE Major,Serbia,0,0,0,0
2017,July,PGL Major Krakow,Serbia,0,0,0,0
2018,January,ELEAGUE Major,Serbia,0,0,0,0
2018,September,FACEIT Major,Serbia,0,0,0,0
2019,March,IEM Katowice,Serbia,0,0,0,0
2019,September,StarLadder Major Berlin,Serbia,0,0,0,0
2021,November,PGL Major Stockholm,Serbia,1,1,1,0
2022,May,PGL Major Antwerp,Serbia,0,0,0,0
2022,November,IEM Rio Major,Serbia,0,0,0,0
2023,May,BLAST.tv Paris Major,Serbia,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Serbia,1,1,0,0
2024,December,Perfect World Shanghai Major,Serbia,0,0,0,0
2025,June,BLAST.tv Austin Major,Serbia,0,0,0,0
2013,November,DreamHack Winter,Romania,0,0,0,0
2014,March,EMS One Katowice,Romania,0,0,0,0
2014,August,ESL One Cologne,Romania,0,0,0,0
2014,November,DreamHack Winter,Romania,0,0,0,0
2015,March,ESL One Katowice,Romania,0,0,0,0
2015,August,ESL One Cologne,Romania,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Romania,0,0,0,0
2016,April,MLG Columbus,Romania,0,0,0,0
2016,July,ESL One Cologne,Romania,0,0,0,0
2017,January,ELEAGUE Major,Romania,0,0,0,0
2017,July,PGL Major Krakow,Romania,0,0,0,0
2018,January,ELEAGUE Major,Romania,0,0,0,0
2018,September,FACEIT Major,Romania,0,0,0,0
2019,March,IEM Katowice,Romania,0,0,0,0
2019,September,StarLadder Major Berlin,Romania,0,0,0,0
2021,November,PGL Major Stockholm,Romania,0,0,0,0
2022,May,PGL Major Antwerp,Romania,0,0,0,0
2022,November,IEM Rio Major,Romania,0,0,0,0
2023,May,BLAST.tv Paris Major,Romania,2,1,1,0
2024,March,PGL CS2 Major Copenhagen,Romania,1,1,1,1
2024,December,Perfect World Shanghai Major,Romania,0,0,0,0
2025,June,BLAST.tv Austin Major,Romania,1,0,0,0
2013,November,DreamHack Winter,North Macedonia,0,0,0,0
2014,March,EMS One Katowice,North Macedonia,0,0,0,0
2014,August,ESL One Cologne,North Macedonia,0,0,0,0
2014,November,DreamHack Winter,North Macedonia,0,0,0,0
2015,March,ESL One Katowice,North Macedonia,0,0,0,0
2015,August,ESL One Cologne,North Macedonia,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,North Macedonia,0,0,0,0
2016,April,MLG Columbus,North Macedonia,0,0,0,0
2016,July,ESL One Cologne,North Macedonia,0,0,0,0
2017,January,ELEAGUE Major,North Macedonia,0,0,0,0
2017,July,PGL Major Krakow,North Macedonia,0,0,0,0
2018,January,ELEAGUE Major,North Macedonia,0,0,0,0
2018,September,FACEIT Major,North Macedonia,0,0,0,0
2019,March,IEM Katowice,North Macedonia,0,0,0,0
2019,September,StarLadder Major Berlin,North Macedonia,0,0,0,0
2021,November,PGL Major Stockholm,North Macedonia,0,0,0,0
2022,May,PGL Major Antwerp,North Macedonia,0,0,0,0
2022,November,IEM Rio Major,North Macedonia,0,0,0,0
2023,May,BLAST.tv Paris Major,North Macedonia,1,1,0,0
2024,March,PGL CS2 Major Copenhagen,North Macedonia,0,0,0,0
2024,December,Perfect World Shanghai Major,North Macedonia,1,0,0,0
2025,June,BLAST.tv Austin Major,North Macedonia,0,0,0,0
2013,November,DreamHack Winter,New Zealand,0,0,0,0
2014,March,EMS One Katowice,New Zealand,0,0,0,0
2014,August,ESL One Cologne,New Zealand,0,0,0,0
2014,November,DreamHack Winter,New Zealand,0,0,0,0
2015,March,ESL One Katowice,New Zealand,0,0,0,0
2015,August,ESL One Cologne,New Zealand,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,New Zealand,0,0,0,0
2016,April,MLG Columbus,New Zealand,0,0,0,0
2016,July,ESL One Cologne,New Zealand,0,0,0,0
2017,January,ELEAGUE Major,New Zealand,0,0,0,0
2017,July,PGL Major Krakow,New Zealand,0,0,0,0
2018,January,ELEAGUE Major,New Zealand,0,0,0,0
2018,September,FACEIT Major,New Zealand,0,0,0,0
2019,March,IEM Katowice,New Zealand,1,0,0,0
2019,September,StarLadder Major Berlin,New Zealand,1,1,0,0
2021,November,PGL Major Stockholm,New Zealand,0,0,0,0
2022,May,PGL Major Antwerp,New Zealand,0,0,0,0
2022,November,IEM Rio Major,New Zealand,0,0,0,0
2023,May,BLAST.tv Paris Major,New Zealand,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,New Zealand,0,0,0,0
2024,December,Perfect World Shanghai Major,New Zealand,0,0,0,0
2025,June,BLAST.tv Austin Major,New Zealand,0,0,0,0
2013,November,DreamHack Winter,Estonia,0,0,0,0
2014,March,EMS One Katowice,Estonia,0,0,0,0
2014,August,ESL One Cologne,Estonia,0,0,0,0
2014,November,DreamHack Winter,Estonia,0,0,0,0
2015,March,ESL One Katowice,Estonia,0,0,0,0
2015,August,ESL One Cologne,Estonia,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Estonia,0,0,0,0
2016,April,MLG Columbus,Estonia,0,0,0,0
2016,July,ESL One Cologne,Estonia,0,0,0,0
2017,January,ELEAGUE Major,Estonia,0,0,0,0
2017,July,PGL Major Krakow,Estonia,0,0,0,0
2018,January,ELEAGUE Major,Estonia,1,0,0,0
2018,September,FACEIT Major,Estonia,0,0,0,0
2019,March,IEM Katowice,Estonia,0,0,0,0
2019,September,StarLadder Major Berlin,Estonia,0,0,0,0
2021,November,PGL Major Stockholm,Estonia,0,0,0,0
2022,May,PGL Major Antwerp,Estonia,1,1,1,1
2022,November,IEM Rio Major,Estonia,0,0,0,0
2023,May,BLAST.tv Paris Major,Estonia,1,0,0,0
2024,March,PGL CS2 Major Copenhagen,Estonia,1,1,1,0
2024,December,Perfect World Shanghai Major,Estonia,1,1,1,0
2025,June,BLAST.tv Austin Major,Estonia,1,1,1,1
2013,November,DreamHack Winter,Australia,0,0,0,0
2014,March,EMS One Katowice,Australia,0,0,0,0
2014,August,ESL One Cologne,Australia,0,0,0,0
2014,November,DreamHack Winter,Australia,0,0,0,0
2015,March,ESL One Katowice,Australia,0,0,0,0
2015,August,ESL One Cologne,Australia,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Australia,0,0,0,0
2016,April,MLG Columbus,Australia,0,0,0,0
2016,July,ESL One Cologne,Australia,0,0,0,0
2017,January,ELEAGUE Major,Australia,0,0,0,0
2017,July,PGL Major Krakow,Australia,0,0,0,0
2018,January,ELEAGUE Major,Australia,0,0,0,0
2018,September,FACEIT Major,Australia,0,0,0,0
2019,March,IEM Katowice,Australia,3,0,0,0
2019,September,StarLadder Major Berlin,Australia,3,3,0,0
2021,November,PGL Major Stockholm,Australia,0,0,0,0
2022,May,PGL Major Antwerp,Australia,0,0,0,0
2022,November,IEM Rio Major,Australia,1,1,0,0
2023,May,BLAST.tv Paris Major,Australia,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Australia,0,0,0,0
2024,December,Perfect World Shanghai Major,Australia,1,0,0,0
2025,June,BLAST.tv Austin Major,Australia,0,0,0,0
2013,November,DreamHack Winter,Lithuania,0,0,0,0
2014,March,EMS One Katowice,Lithuania,0,0,0,0
2014,August,ESL One Cologne,Lithuania,0,0,0,0
2014,November,DreamHack Winter,Lithuania,0,0,0,0
2015,March,ESL One Katowice,Lithuania,0,0,0,0
2015,August,ESL One Cologne,Lithuania,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Lithuania,0,0,0,0
2016,April,MLG Columbus,Lithuania,0,0,0,0
2016,July,ESL One Cologne,Lithuania,0,0,0,0
2017,January,ELEAGUE Major,Lithuania,0,0,0,0
2017,July,PGL Major Krakow,Lithuania,0,0,0,0
2018,January,ELEAGUE Major,Lithuania,1,0,0,0
2018,September,FACEIT Major,Lithuania,0,0,0,0
2019,March,IEM Katowice,Lithuania,0,0,0,0
2019,September,StarLadder Major Berlin,Lithuania,0,0,0,0
2021,November,PGL Major Stockholm,Lithuania,0,0,0,0
2022,May,PGL Major Antwerp,Lithuania,0,0,0,0
2022,November,IEM Rio Major,Lithuania,0,0,0,0
2023,May,BLAST.tv Paris Major,Lithuania,1,1,0,0
2024,March,PGL CS2 Major Copenhagen,Lithuania,1,1,1,1
2024,December,Perfect World Shanghai Major,Lithuania,0,0,0,0
2025,June,BLAST.tv Austin Major,Lithuania,1,0,0,0
2013,November,DreamHack Winter,Portugal,0,0,0,0
2014,March,EMS One Katowice,Portugal,0,0,0,0
2014,August,ESL One Cologne,Portugal,0,0,0,0
2014,November,DreamHack Winter,Portugal,0,0,0,0
2015,March,ESL One Katowice,Portugal,0,0,0,0
2015,August,ESL One Cologne,Portugal,1,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Portugal,1,1,0,0
2016,April,MLG Columbus,Portugal,0,0,0,0
2016,July,ESL One Cologne,Portugal,0,0,0,0
2017,January,ELEAGUE Major,Portugal,1,1,0,0
2017,July,PGL Major Krakow,Portugal,0,0,0,0
2018,January,ELEAGUE Major,Portugal,0,0,0,0
2018,September,FACEIT Major,Portugal,0,0,0,0
2019,March,IEM Katowice,Portugal,0,0,0,0
2019,September,StarLadder Major Berlin,Portugal,0,0,0,0
2021,November,PGL Major Stockholm,Portugal,0,0,0,0
2022,May,PGL Major Antwerp,Portugal,0,0,0,0
2022,November,IEM Rio Major,Portugal,0,0,0,0
2023,May,BLAST.tv Paris Major,Portugal,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Portugal,0,0,0,0
2024,December,Perfect World Shanghai Major,Portugal,0,0,0,0
2025,June,BLAST.tv Austin Major,Portugal,0,0,0,0
2013,November,DreamHack Winter,Hungary,0,0,0,0
2014,March,EMS One Katowice,Hungary,0,0,0,0
2014,August,ESL One Cologne,Hungary,0,0,0,0
2014,November,DreamHack Winter,Hungary,0,0,0,0
2015,March,ESL One Katowice,Hungary,0,0,0,0
2015,August,ESL One Cologne,Hungary,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Hungary,0,0,0,0
2016,April,MLG Columbus,Hungary,0,0,0,0
2016,July,ESL One Cologne,Hungary,0,0,0,0
2017,January,ELEAGUE Major,Hungary,0,0,0,0
2017,July,PGL Major Krakow,Hungary,0,0,0,0
2018,January,ELEAGUE Major,Hungary,0,0,0,0
2018,September,FACEIT Major,Hungary,1,0,0,0
2019,March,IEM Katowice,Hungary,0,0,0,0
2019,September,StarLadder Major Berlin,Hungary,0,0,0,0
2021,November,PGL Major Stockholm,Hungary,0,0,0,0
2022,May,PGL Major Antwerp,Hungary,0,0,0,0
2022,November,IEM Rio Major,Hungary,1,1,0,0
2023,May,BLAST.tv Paris Major,Hungary,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Hungary,1,0,0,0
2024,December,Perfect World Shanghai Major,Hungary,1,1,0,0
2025,June,BLAST.tv Austin Major,Hungary,1,1,0,0
2013,November,DreamHack Winter,Montenegro,0,0,0,0
2014,March,EMS One Katowice,Montenegro,0,0,0,0
2014,August,ESL One Cologne,Montenegro,0,0,0,0
2014,November,DreamHack Winter,Montenegro,0,0,0,0
2015,March,ESL One Katowice,Montenegro,0,0,0,0
2015,August,ESL One Cologne,Montenegro,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Montenegro,0,0,0,0
2016,April,MLG Columbus,Montenegro,0,0,0,0
2016,July,ESL One Cologne,Montenegro,0,0,0,0
2017,January,ELEAGUE Major,Montenegro,0,0,0,0
2017,July,PGL Major Krakow,Montenegro,0,0,0,0
2018,January,ELEAGUE Major,Montenegro,0,0,0,0
2018,September,FACEIT Major,Montenegro,0,0,0,0
2019,March,IEM Katowice,Montenegro,0,0,0,0
2019,September,StarLadder Major Berlin,Montenegro,0,0,0,0
2021,November,PGL Major Stockholm,Montenegro,0,0,0,0
2022,May,PGL Major Antwerp,Montenegro,1,1,0,0
2022,November,IEM Rio Major,Montenegro,0,0,0,0
2023,May,BLAST.tv Paris Major,Montenegro,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Montenegro,0,0,0,0
2024,December,Perfect World Shanghai Major,Montenegro,0,0,0,0
2025,June,BLAST.tv Austin Major,Montenegro,0,0,0,0
2013,November,DreamHack Winter,Uzbekistan,0,0,0,0
2014,March,EMS One Katowice,Uzbekistan,0,0,0,0
2014,August,ESL One Cologne,Uzbekistan,0,0,0,0
2014,November,DreamHack Winter,Uzbekistan,0,0,0,0
2015,March,ESL One Katowice,Uzbekistan,0,0,0,0
2015,August,ESL One Cologne,Uzbekistan,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Uzbekistan,0,0,0,0
2016,April,MLG Columbus,Uzbekistan,0,0,0,0
2016,July,ESL One Cologne,Uzbekistan,0,0,0,0
2017,January,ELEAGUE Major,Uzbekistan,0,0,0,0
2017,July,PGL Major Krakow,Uzbekistan,0,0,0,0
2018,January,ELEAGUE Major,Uzbekistan,0,0,0,0
2018,September,FACEIT Major,Uzbekistan,0,0,0,0
2019,March,IEM Katowice,Uzbekistan,0,0,0,0
2019,September,StarLadder Major Berlin,Uzbekistan,1,1,1,0
2021,November,PGL Major Stockholm,Uzbekistan,0,0,0,0
2022,May,PGL Major Antwerp,Uzbekistan,0,0,0,0
2022,November,IEM Rio Major,Uzbekistan,0,0,0,0
2023,May,BLAST.tv Paris Major,Uzbekistan,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Uzbekistan,0,0,0,0
2024,December,Perfect World Shanghai Major,Uzbekistan,0,0,0,0
2025,June,BLAST.tv Austin Major,Uzbekistan,0,0,0,0
2013,November,DreamHack Winter,Czechia,0,0,0,0
2014,March,EMS One Katowice,Czechia,0,0,0,0
2014,August,ESL One Cologne,Czechia,0,0,0,0
2014,November,DreamHack Winter,Czechia,0,0,0,0
2015,March,ESL One Katowice,Czechia,0,0,0,0
2015,August,ESL One Cologne,Czechia,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Czechia,0,0,0,0
2016,April,MLG Columbus,Czechia,0,0,0,0
2016,July,ESL One Cologne,Czechia,0,0,0,0
2017,January,ELEAGUE Major,Czechia,0,0,0,0
2017,July,PGL Major Krakow,Czechia,0,0,0,0
2018,January,ELEAGUE Major,Czechia,1,0,0,0
2018,September,FACEIT Major,Czechia,0,0,0,0
2019,March,IEM Katowice,Czechia,0,0,0,0
2019,September,StarLadder Major Berlin,Czechia,0,0,0,0
2021,November,PGL Major Stockholm,Czechia,0,0,0,0
2022,May,PGL Major Antwerp,Czechia,0,0,0,0
2022,November,IEM Rio Major,Czechia,0,0,0,0
2023,May,BLAST.tv Paris Major,Czechia,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Czechia,0,0,0,0
2024,December,Perfect World Shanghai Major,Czechia,0,0,0,0
2025,June,BLAST.tv Austin Major,Czechia,0,0,0,0
2013,November,DreamHack Winter,Bulgaria,0,0,0,0
2014,March,EMS One Katowice,Bulgaria,0,0,0,0
2014,August,ESL One Cologne,Bulgaria,0,0,0,0
2014,November,DreamHack Winter,Bulgaria,0,0,0,0
2015,March,ESL One Katowice,Bulgaria,0,0,0,0
2015,August,ESL One Cologne,Bulgaria,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Bulgaria,0,0,0,0
2016,April,MLG Columbus,Bulgaria,0,0,0,0
2016,July,ESL One Cologne,Bulgaria,0,0,0,0
2017,January,ELEAGUE Major,Bulgaria,0,0,0,0
2017,July,PGL Major Krakow,Bulgaria,0,0,0,0
2018,January,ELEAGUE Major,Bulgaria,0,0,0,0
2018,September,FACEIT Major,Bulgaria,0,0,0,0
2019,March,IEM Katowice,Bulgaria,0,0,0,0
2019,September,StarLadder Major Berlin,Bulgaria,1,1,0,0
2021,November,PGL Major Stockholm,Bulgaria,0,0,0,0
2022,May,PGL Major Antwerp,Bulgaria,0,0,0,0
2022,November,IEM Rio Major,Bulgaria,0,0,0,0
2023,May,BLAST.tv Paris Major,Bulgaria,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Bulgaria,0,0,0,0
2024,December,Perfect World Shanghai Major,Bulgaria,0,0,0,0
2025,June,BLAST.tv Austin Major,Bulgaria,0,0,0,0
2013,November,DreamHack Winter,Jordan,0,0,0,0
2014,March,EMS One Katowice,Jordan,0,0,0,0
2014,August,ESL One Cologne,Jordan,0,0,0,0
2014,November,DreamHack Winter,Jordan,0,0,0,0
2015,March,ESL One Katowice,Jordan,0,0,0,0
2015,August,ESL One Cologne,Jordan,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Jordan,0,0,0,0
2016,April,MLG Columbus,Jordan,0,0,0,0
2016,July,ESL One Cologne,Jordan,0,0,0,0
2017,January,ELEAGUE Major,Jordan,0,0,0,0
2017,July,PGL Major Krakow,Jordan,0,0,0,0
2018,January,ELEAGUE Major,Jordan,0,0,0,0
2018,September,FACEIT Major,Jordan,1,0,0,0
2019,March,IEM Katowice,Jordan,0,0,0,0
2019,September,StarLadder Major Berlin,Jordan,0,0,0,0
2021,November,PGL Major Stockholm,Jordan,0,0,0,0
2022,May,PGL Major Antwerp,Jordan,0,0,0,0
2022,November,IEM Rio Major,Jordan,0,0,0,0
2023,May,BLAST.tv Paris Major,Jordan,1,0,0,0
2024,March,PGL CS2 Major Copenhagen,Jordan,0,0,0,0
2024,December,Perfect World Shanghai Major,Jordan,0,0,0,0
2025,June,BLAST.tv Austin Major,Jordan,0,0,0,0
2013,November,DreamHack Winter,Holland,0,0,0,0
2014,March,EMS One Katowice,Holland,0,0,0,0
2014,August,ESL One Cologne,Holland,0,0,0,0
2014,November,DreamHack Winter,Holland,0,0,0,0
2015,March,ESL One Katowice,Holland,0,0,0,0
2015,August,ESL One Cologne,Holland,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Holland,0,0,0,0
2016,April,MLG Columbus,Holland,0,0,0,0
2016,July,ESL One Cologne,Holland,0,0,0,0
2017,January,ELEAGUE Major,Holland,0,0,0,0
2017,July,PGL Major Krakow,Holland,0,0,0,0
2018,January,ELEAGUE Major,Holland,1,0,0,0
2018,September,FACEIT Major,Holland,0,0,0,0
2019,March,IEM Katowice,Holland,0,0,0,0
2019,September,StarLadder Major Berlin,Holland,0,0,0,0
2021,November,PGL Major Stockholm,Holland,0,0,0,0
2022,May,PGL Major Antwerp,Holland,0,0,0,0
2022,November,IEM Rio Major,Holland,1,0,0,0
2023,May,BLAST.tv Paris Major,Holland,1,0,0,0
2024,March,PGL CS2 Major Copenhagen,Holland,0,0,0,0
2024,December,Perfect World Shanghai Major,Holland,0,0,0,0
2025,June,BLAST.tv Austin Major,Holland,0,0,0,0
2013,November,DreamHack Winter,Belgium,2,2,0,0
2014,March,EMS One Katowice,Belgium,0,0,0,0
2014,August,ESL One Cologne,Belgium,0,0,0,0
2014,November,DreamHack Winter,Belgium,0,0,0,0
2015,March,ESL One Katowice,Belgium,0,0,0,0
2015,August,ESL One Cologne,Belgium,1,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Belgium,0,0,0,0
2016,April,MLG Columbus,Belgium,0,0,0,0
2016,July,ESL One Cologne,Belgium,0,0,0,0
2017,January,ELEAGUE Major,Belgium,0,0,0,0
2017,July,PGL Major Krakow,Belgium,0,0,0,0
2018,January,ELEAGUE Major,Belgium,0,0,0,0
2018,September,FACEIT Major,Belgium,0,0,0,0
2019,March,IEM Katowice,Belgium,0,0,0,0
2019,September,StarLadder Major Berlin,Belgium,0,0,0,0
2021,November,PGL Major Stockholm,Belgium,0,0,0,0
2022,May,PGL Major Antwerp,Belgium,0,0,0,0
2022,November,IEM Rio Major,Belgium,0,0,0,0
2023,May,BLAST.tv Paris Major,Belgium,1,1,1,0
2024,March,PGL CS2 Major Copenhagen,Belgium,0,0,0,0
2024,December,Perfect World Shanghai Major,Belgium,0,0,0,0
2025,June,BLAST.tv Austin Major,Belgium,0,0,0,0
2013,November,DreamHack Winter,Bosnia,0,0,0,0
2014,March,EMS One Katowice,Bosnia,0,0,0,0
2014,August,ESL One Cologne,Bosnia,0,0,0,0
2014,November,DreamHack Winter,Bosnia,0,0,0,0
2015,March,ESL One Katowice,Bosnia,0,0,0,0
2015,August,ESL One Cologne,Bosnia,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Bosnia,0,0,0,0
2016,April,MLG Columbus,Bosnia,0,0,0,0
2016,July,ESL One Cologne,Bosnia,0,0,0,0
2017,January,ELEAGUE Major,Bosnia,0,0,0,0
2017,July,PGL Major Krakow,Bosnia,0,0,0,0
2018,January,ELEAGUE Major,Bosnia,1,1,1,0
2018,September,FACEIT Major,Bosnia,1,0,0,0
2019,March,IEM Katowice,Bosnia,1,0,0,0
2019,September,StarLadder Major Berlin,Bosnia,0,0,0,0
2021,November,PGL Major Stockholm,Bosnia,2,2,2,0
2022,May,PGL Major Antwerp,Bosnia,0,0,0,0
2022,November,IEM Rio Major,Bosnia,0,0,0,0
2023,May,BLAST.tv Paris Major,Bosnia,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Bosnia,2,2,0,0
2024,December,Perfect World Shanghai Major,Bosnia,2,2,0,0
2025,June,BLAST.tv Austin Major,Bosnia,0,0,0,0
2013,November,DreamHack Winter,Germany,0,0,0,0
2014,March,EMS One Katowice,Germany,0,0,0,0
2014,August,ESL One Cologne,Germany,0,0,0,0
2014,November,DreamHack Winter,Germany,5,0,0,0
2015,March,ESL One Katowice,Germany,5,0,0,0
2015,August,ESL One Cologne,Germany,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Germany,0,0,0,0
2016,April,MLG Columbus,Germany,0,0,0,0
2016,July,ESL One Cologne,Germany,0,0,0,0
2017,January,ELEAGUE Major,Germany,0,0,0,0
2017,July,PGL Major Krakow,Germany,5,0,0,0
2018,January,ELEAGUE Major,Germany,0,0,0,0
2018,September,FACEIT Major,Germany,4,0,0,0
2019,March,IEM Katowice,Germany,0,0,0,0
2019,September,StarLadder Major Berlin,Germany,0,0,0,0
2021,November,PGL Major Stockholm,Germany,0,0,0,0
2022,May,PGL Major Antwerp,Germany,0,0,0,0
2022,November,IEM Rio Major,Germany,1,1,0,0
2023,May,BLAST.tv Paris Major,Germany,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Germany,0,0,0,0
2024,December,Perfect World Shanghai Major,Germany,0,0,0,0
2025,June,BLAST.tv Austin Major,Germany,0,0,0,0

