year,month_finished,tournament,country,quarter,semi,final,won
2014,March,EMS One Katowice,France,4,0,0,0
2014,August,ESL One Cologne,France,9,5,0,0
2014,November,DreamHack Winter,France,5,5,5,5
2015,March,ESL One Katowice,France,5,5,0,0
2015,August,ESL One Cologne,France,5,5,5,0
2015,November,DreamHack Open Cluj-Napoca,France,5,5,5,5
2016,April,MLG Columbus,France,0,0,0,0
2016,July,ESL One Cologne,France,0,0,0,0
2017,January,ELEAGUE Major,France,1,0,0,0
2017,July,PGL Major Krakow,France,0,0,0,0
2018,January,ELEAGUE Major,France,5,0,0,0
2018,September,FACEIT Major,France,0,0,0,0
2019,March,IEM Katowice,France,0,0,0,0
2019,September,StarLadder Major Berlin,France,4,0,0,0
2021,November,PGL Major Stockholm,France,7,2,2,0
2022,May,PGL Major Antwerp,France,0,0,0,0
2022,November,IEM Rio Major,France,0,0,0,0
2023,May,BLAST.tv Paris Major,France,2,2,2,2
2024,March,PGL CS2 Major Copenhagen,France,2,2,0,0
2024,December,Perfect World Shanghai Major,France,2,0,0,0
2025,June,BLAST.tv Austin Major,France,2,2,2,2
2013,November,DreamHack Winter,Poland,0,0,0,0
2014,March,EMS One Katowice,Poland,5,5,5,5
2014,August,ESL One Cologne,Poland,5,0,0,0
2014,November,DreamHack Winter,Poland,5,5,0,0
2015,March,ESL One Katowice,Poland,5,5,0,0
2015,August,ESL One Cologne,Poland,5,5,0,0
2015,November,DreamHack Open Cluj-Napoca,Poland,5,0,0,0
2016,April,MLG Columbus,Poland,5,0,0,0
2016,July,ESL One Cologne,Poland,5,5,0,0
2017,January,ELEAGUE Major,Poland,5,5,5,0
2017,July,PGL Major Krakow,Poland,5,5,0,0
2018,January,ELEAGUE Major,Poland,0,0,0,0
2018,September,FACEIT Major,Poland,0,0,0,0
2019,March,IEM Katowice,Poland,0,0,0,0
2019,September,StarLadder Major Berlin,Poland,0,0,0,0
2021,November,PGL Major Stockholm,Poland,0,0,0,0
2022,May,PGL Major Antwerp,Poland,2,2,0,0
2022,November,IEM Rio Major,Poland,0,0,0,0
